Region_id,ZIP,City,Lat,Lng
203,9655,Maria Luggau,46.70496,12.73579
203,9633,Reisach,46.64936,13.15393
203,9651,St. Jakob im Lesachtal,46.68362,12.92775
203,9654,St. Lorenzen im Lesachtal,46.70161,12.78303
203,9623,St. Stefan an der Gail,46.61714,13.51835
203,9614,Vorderberg,46.59529,13.523
203,9622,Weißbriach,46.68722,13.24694
201,9020,Klagenfurt am Wörthersee,46.62364,14.30768
201,9061,Klagenfurt-Wölfnitz,46.66667,14.25
204,9065,Ebenthal,46.60815,14.35535
204,9181,Feistritz im Rosental,46.52017,14.1726
204,9170,Ferlach,46.52677,14.299
204,9131,Grafenstein,46.6107,14.46713
204,9074,Keutschach,46.5919,14.18337
204,9073,Klagenfurt-Viktring,46.59246,14.26993
204,9071,Köttmannsdorf,46.56133,14.23398
204,9201,Krumpendorf,46.62503,14.21153
204,9072,Ludmannsdorf,46.54152,14.1343
204,9161,Maria Rain,46.56083,14.28637
204,9063,Maria Saal,46.6817,14.34775
204,9082,Maria Wörth,46.61574,14.1621
204,9062,Moosburg,46.65752,14.17379
204,9064,Pischeldorf,46.68795,14.45675
204,9130,Poggersdorf,46.65096,14.4504
204,9210,Pörtschach am Wörther See,46.63536,14.14603
204,9081,Reifnitz,46.6128,14.1885
204,9535,Schiefling,46.608,14.09061
204,9173,St. Margareten im Rosental,46.54206,14.42146
204,9162,Strau,46.53879,14.25916
204,9212,Techelsberg am Wörther See,46.64655,14.09537
204,9163,Unterbergen,46.52033,14.28039
205,9371,Brückl,46.75266,14.53236
205,9572,Deutsch Griffen,46.85507,14.07503
205,9372,Eberstein,46.80797,14.55858
205,9360,Friesach,46.95074,14.40599
205,9346,Glödnitz,46.87416,14.11854
205,9362,Grades,46.97952,14.25243
205,9342,Gurk,46.87408,14.29215
205,9334,Guttaring,46.89073,14.51262
205,9375,Hüttenberg,46.9397,14.54877
205,9321,Kappel am Krappfeld,46.83877,14.4839
